hostname,state,software,user_count,note_count,peer_count,discovered_at
social.fqserv.eu,up,mastodon,1,0,1395,1696333023
b0x.social,up,mastodon,13,452,8160,1668359252
ono-sendai.jevidl.net,up,mastodon,1,1351,10855,1668064184
oomfie.city,up,mastodon,57,29620,14332,1689852459
mirus.club,up,mastodon,3,145,2326,1699482055
social.bert.org,up,mastodon,1,143,9633,1612578345
harekiet.com,up,mastodon,1,65,3267,1670059716
lily.network,up,mastodon,8,24078,21179,1612578265
toot.kakurady.ca,up,mastodon,3,58,1121,1697642080
mastodon.lynxcore.org,up,mastodon,2,0,1,1683660771
malenfant.net,up,mastodon,2,2266,12884,1690113730
na.social,up,mastodon,6,1443,1914,1705268008
mastodon.voicenet.ch,up,mastodon,3,530,4816,1671548732
gearheads.social,up,mastodon,935,19785,20237,1668073383
tallahasseesocial.org,up,mastodon,25,484,4385,1668212037
walkwithme.today,up,mastodon,3,16,0,1700559067
mastodon.albertoluna.es,up,mastodon,2,2,7889,1673722246
icedlatte.chat,up,mastodon,1,71,9566,1625977737
md.nakn.jp,up,mastodon,6,40554,396,1692151412
polkadot.hostdon.ne.jp,up,mastodon,1,1348,81,1676592671
club.dd5aa.de,up,mastodon,2,3,1133,1717685544
toot.jimmygulp.co.uk,up,mastodon,4,60,5347,1668019618
dawdling.net,up,mastodon,1,7752,15248,1677137535
dfir.social,up,mastodon,12,399,3827,1677395013
open3dlab.social,up,mastodon,134,2972,11775,1690448100
bonn.social,up,mastodon,1395,283455,30926,1612578266
eliitin-some.fi,up,mastodon,99,174477,20422,1668274099
dev.evazero.club,up,mastodon,1,0,8144,1693196421
mastodon.missing-deadlines.com,up,mastodon,2,223,7013,1684082567
social.bobek.cz,up,mastodon,2,173,4596,1612578271
mastodon.nissesdomain.org,up,mastodon,3,330,1893,1678757553
eliyap.social,up,mastodon,3,217,7267,1678142268
social.kodraus.com,up,mastodon,1,49,1711,1704779159
mastodon.thin.computer,up,mastodon,1,1,7,1712887070
sled.social,up,mastodon,10,886,6229,1674743025
nacq.me,up,mastodon,5,326,5526,1612578269
bayes.club,up,mastodon,362,14114,20509,1667419929
social.spicysources.de,up,mastodon,7,23,3274,1707331755
alleysmith.family,up,mastodon,4,986,7088,1669263794
teqpot.info,up,mastodon,12,171,2,1708895263
cursoryreview.org,up,mastodon,30,878,9474,1667628718
fedi.gemlog.ca,up,mastodon,1,0,373,1657179961
zpravobot.news,up,mastodon,379,356545,4724,1679784809
auralis.space,up,mastodon,3,112,15,1669224188
theriault.co,up,mastodon,1,1,44,1719200575
social.a11y.fr,up,mastodon,2,252,5364,1681300147
citydweller.social,up,mastodon,6,1952,12704,1668989190
kapuverse.net,up,mastodon,3,313,1229,1675699745
d-64.social,up,mastodon,117,18665,20448,1667498822
social.lyros.net,up,mastodon,1,13,3606,1672529149
social.ataxya.net,up,mastodon,125,18878,9311,1612578442
social.tzi.fr,up,mastodon,3,1199,7536,1612578267
mstdn.books-lighthouse.com,up,mastodon,37,22216,7028,1675523619
reliverse.social,up,mastodon,62,2822,9196,1673539450
mastodon.dfxn.org,up,mastodon,3,5,7719,1674834923
m.in0rdr.ch,up,mastodon,1,332,4195,1665399625
mastodon.wolfssocial.space,up,mastodon,3,572,4493,1694636257
mastodon.chantierlibre.org,up,mastodon,4,1370,6140,1612578267
puppyfire.social,up,mastodon,4,33,10939,1672639436
koreadon.com,up,mastodon,170,224631,3699,1612578266
bibletalk.social,up,mastodon,16,1105,4025,1694289165
cas.social,up,mastodon,13,458,9661,1669091816
social.3dots.lv,up,mastodon,13,190915,21136,1612578270
social.smnz.de,up,mastodon,11,102,8157,1622576479
genomic.social,up,mastodon,3812,152092,28088,1667385374
slonik.0chan.ru,up,mastodon,56,795,1834,1669199437
mastodon.yasa.gs,up,mastodon,1,104,4429,1669002957
bertshouse.social,up,mastodon,3,26732,36073,1672169202
thueringen.social,up,mastodon,1,1,361,1711662141
pocmo.social,up,mastodon,3,199,10081,1668173109
jellystyle.social,up,mastodon,2,928,5605,1669023984
social.jumaru.net,up,mastodon,1,18,2834,1705656931
click.ba.it,up,mastodon,2,9667,14642,1612579011
mastodon.moso.dev,up,mastodon,1,13,655,1713895657
mastodon.thewarrens.name,up,mastodon,3,542,10979,1612578269
mstdn.myutsutaka.com,up,mastodon,1,29,585,1668087347
mastodon.faithtree.social,up,mastodon,18,1421,9352,1674892418
taverne-zum-wanderer.de,up,mastodon,2,22,999,1693483741
mastodon.banzan.uk,up,mastodon,1,9,7755,1667950979
mstdn.moe,up,mastodon,191,63258,10207,1629787025
idlethumbs.social,up,mastodon,489,30584,23717,1612578266
fedi.machaj.info,up,mastodon,2,174,5822,1669577565
mytoot.de,up,mastodon,2,989,15427,1612578268
social.eubf.net,up,mastodon,1,0,5771,1699199433
mastodon.ch-le.fr,up,mastodon,1,89,6837,1667416537
skunkhollow.tech,up,mastodon,8,271,7657,1667951094
klezmor.im,up,mastodon,7,1010,9824,1685761556
rickyleong.me,up,mastodon,2,19,798,1688433313
lotz.cloud,up,mastodon,20,842,406,1692351138
m.marchbox.com,up,mastodon,2,431,6484,1672985294
realms.jardin-des-slimes.fr,up,mastodon,7,176,5778,1705259895
nerd.megahuge.com,up,mastodon,1,255,8779,1667592161
chabant.social,up,mastodon,2,2580,14760,1612578266
claes.social,up,mastodon,1,33,4201,1688518199
mastodon.houchouas.name,up,mastodon,6,0,3,1667919979
thesenate.cc,up,mastodon,4,10130,7949,1612578268
social.savemy.name,up,mastodon,4,118,10418,1653178169
privex.social,up,mastodon,59,615,10405,1668193715
vtdon.com,up,mastodon,1061,101582,8537,1670161734
social.brainsys.com,up,mastodon,14,6816,16690,1668381956
social.romaricpascal.com,up,mastodon,1,4341,7669,1668775978
mastodon.lanham.id.au,up,mastodon,4,128,3948,1667928710
apricot.social,up,mastodon,7,2155,8063,1672705388
tooter.srijan.site,up,mastodon,7,66,2702,1681668818
mastodon.chromblitzen.de,up,mastodon,3,19,478,1719267237
mastodon.makotoworkshop.org,up,mastodon,1,1820,3058,1671237858
fed.uu.org,up,mastodon,3,3229,6932,1667790020
wybt.net,up,mastodon,3,5165,15707,1667173719
meow.cloud,up,mastodon,51,3777,9271,1639997058
mastodon.try-to-hack.me,up,mastodon,2,341,5568,1668848995
social.linux.pizza,up,mastodon,11569,663025,44701,1612578269
mastodon.vandevoor.de,up,mastodon,2,492,3865,1668904961
freedomofspee.ch,up,mastodon,10,15497,11137,1667722454
social.regenpfeifer.net,up,mastodon,5,262,4147,1635082548
social.nikos410.de,up,mastodon,3,270,8649,1634151056
birds.town,up,mastodon,554,43357,20296,1669062995
flyovercountry.social,up,mastodon,13,22025,21193,1667752733
wizzards.club,up,mastodon,4,459,10787,1612578266
acgn.ca,up,mastodon,1,0,30,1681124916
ceilidh.online,up,mastodon,23,2630,12247,1667877979
ingwine.social,up,mastodon,15,76,675,1711047608
toot.vipra.vip,up,mastodon,2,1936,6283,1699730374
social.hanntac.net,up,mastodon,4,737,6711,1612578348
mastodon.geofox.org,up,mastodon,1,33,7556,1612578267
whisper.tf,up,mastodon,3,2199,14416,1612578266
kopimi.space,up,mastodon,27,6231,17825,1688557216
mastodon.hamburg,up,mastodon,8,310,4862,1612578270
m.allistodon.xyz,up,mastodon,1,50,5549,1698029564
webxr.social,up,mastodon,13,250,2040,1699679117
x.coderblog.in,up,mastodon,3,8,429,1713616579
kemonodon.club,up,mastodon,2933,810355,15627,1612578266
teqqy.social,up,mastodon,2,1139,5974,1687284531
ericpuryear.com,up,mastodon,2,1122,20043,1670137460
xn--kdk0c930v.com,up,mastodon,2,14,668,1668972260
mastodon.catgirl.cloud,up,mastodon,38,6653,17128,1686594107
mostodon.de,up,mastodon,2,9562,4344,1699860495
social.corticarte.com,up,mastodon,1,0,7901,1668707757
inthenews.social,up,mastodon,6,22770,618,1697795415
uff.rip,up,mastodon,13,48917,10028,1669819277
mastodon.dtalens.com,up,mastodon,3,516,4628,1669073302
mastodon.afromunkee.live,up,mastodon,2,879,12825,1667832246
unitedmastodon.com,up,mastodon,2,7,11581,1669020991
bunny.social,up,mastodon,3,1817,4646,1669410478
libertynode.net,up,mastodon,9,13802,10752,1625872581
social.foolish.computer,up,mastodon,1,331,5084,1679449945
pixel.kitchen,up,mastodon,3,2569,14410,1668923341
me.not.cy,up,mastodon,1,53,7,1675061310
rssfeed.media,up,mastodon,6,1407,3238,1695319004
m.poitr.us,up,mastodon,1,0,3472,1671455230
reidodon.net,up,mastodon,1,340,9452,1671608977
mstdn.mrmts.com,up,mastodon,2,6661,5571,1677649319
fedi.lawngno.me,up,mastodon,1,456,6788,1667646531
varjo.org,up,mastodon,2,8,7370,1667535292
social.overlappingmagisteria.org,up,mastodon,14,2129,20535,1667605044
risc.social,up,mastodon,4,178,6714,1668554730
cc2.at,up,mastodon,1,20,5859,1667948752
mastodon.ody.si,up,mastodon,2,373,8067,1612578348
social.kubiak.me,up,mastodon,2,236,3835,1703164574
witches.pub,up,mastodon,45,196,5666,1612578268
mastodon.eus,up,mastodon,4526,346779,25593,1612578270
sailstrails.cafe,up,mastodon,2,198,8431,1667076961
fedinerds.net,up,mastodon,2,517,10685,1669005261
social.kuester7.com,up,mastodon,20,4962,10675,1612578268
jamesgallagher.social,up,mastodon,1,1076,9639,1612579011
hex.st,up,mastodon,7,2072,9309,1668802304
vivatucson.net,up,mastodon,2,8,1152,1675029933
social.y-gallery.net,up,mastodon,109,754,3213,1669658043
adastra234.info,up,mastodon,14,71967,4,1698252486
icanteventoot.help,up,mastodon,2,208,10419,1669819277
linux.social,up,mastodon,492,2487,13219,1672207132
ibenot.com,up,mastodon,2,148,13693,1670273747
sparrowhawk.social,up,mastodon,1,1731,10254,1675714306
mastobate.social,up,mastodon,391,26513,10148,1669706768
www.librepunk.club,up,mastodon,265,160897,28015,1612578267
masto.adamchandler.me,up,mastodon,6,1007,4558,1673326263
thingy.social,up,mastodon,1,9985,18590,1676758815
mastodon.setsuna.kr,up,mastodon,1,251,2154,1612578268
toot.y-y.li,up,mastodon,3,222,11494,1612578269
alpaka.social,up,mastodon,69,11121,15258,1641942118
kish.social,up,mastodon,6,363,10176,1660255611
awes.one,up,mastodon,1,216,2162,1612578266
fediscience.org,up,mastodon,5526,501075,33689,1612578270
bihar.social,up,mastodon,24,672,12478,1669419045
justfollow.me.uk,up,mastodon,8,51,1260,1668123824
social.ddrpodcast.com,up,mastodon,1,3,288,1704756755
mammuthus.xyz,up,mastodon,2,14851,15287,1668531935
social.je,up,mastodon,1,1,4036,1712051053
mastodon.radfoote.net,up,mastodon,2,105,3623,1668707240
mastodon.scientiam.org,up,mastodon,3,655,131185,1668309325
social.politicaconciencia.org,up,mastodon,5392,302279,29810,1612578268
talk.ogre.red,up,mastodon,5,131,5741,1667786637
neovibe.app,up,mastodon,658,17997,21767,1668030509
troetmund.de,up,mastodon,6,968,15103,1681752131
efdn.club,up,mastodon,294,1040936,23472,1612578268
xn--69aa8bzb.xn--y9a3aq,up,mastodon,376,81964,22475,1612578268
tootspace.nl,up,mastodon,4,11,558,1668132054
mastodon.nyveir.fr,up,mastodon,3,301,1579,1679922612
mastodon.wtfomfg.org,up,mastodon,3,15,3395,1672630613
toot.sg,up,mastodon,2,245,1074,1654592877
mastodon.kbpmessick.com,up,mastodon,3,6,839,1706356008
liberal.lgbt,up,mastodon,86,5842,14066,1667215910
social.4vr.me,up,mastodon,1,571,6970,1703026921
social.dogondo.de,up,mastodon,4,656,6252,1707050532
915.social,up,mastodon,6,21,4140,1670328638
bla.daanberg.net,up,mastodon,5,4113,15122,1674260690
m.cedric-florkin.synology.me,up,mastodon,2,147,3881,1671901458
candycorn.club,up,mastodon,2,307,8427,1668965412
mstdn.nrkn.fr,up,mastodon,8,12557,13442,1612578268
sizestation.com,up,mastodon,1,0,15,1702205009
mastodon.acc.sunet.se,up,mastodon,463,70983,29616,1612578268
syringa.social,up,mastodon,120,23666,21263,1669459107
hdev.im,up,mastodon,3,2868,15400,1670181739
mast.hutchie.scot,up,mastodon,4,309,7571,1676859195
overkill.social,up,mastodon,3,2977,15666,1671708687
social.burch-hill.com,up,mastodon,1,61,4826,1675767132
social.int21.dev,up,mastodon,1,261,10287,1669295527
royalrainbow.link,up,mastodon,3,145,109,1718421394
backtoroot.xyz,up,mastodon,6,12,5,1616799870
13bells.com,up,mastodon,7,10567,11924,1612578267
cuties.social,up,mastodon,44,145019,18834,1612578270
gamemaking.social,up,mastodon,112,29175,25916,1612578270
weatherby2378.social,up,mastodon,2,10452,10992,1667332975
eigadon.net,up,mastodon,1306,26640,10403,1612578267
mastodon.floe.earth,up,mastodon,165,36115,23116,1667422944
hivemind.plus,up,mastodon,9,1847,17936,1669050480
phonetown.net,up,mastodon,1,11,4665,1692577113
clacks.social,up,mastodon,9,29,6131,1672811301
mastodon.pando.im,up,mastodon,437,376,,1718178599
social.electrafish.tech,up,mastodon,4,1771,10178,1668298788
masto.lema.org,up,mastodon,5,16854,20129,1667610368
julianjulian.moe,up,mastodon,3,2819,7158,1612578269
jxmsocial.xyz,up,mastodon,2,50,5308,1612578345
mastodon.juniperrae.net,up,mastodon,24,3250,,1708706073
tootoro.monigatti.net,up,mastodon,2,0,177,1669615222
social.sodajerker.com,up,mastodon,1,53,3829,1672084248
mastodon.cisti.org,up,mastodon,616,293447,23008,1612578266
smpl.hostdon.ne.jp,up,mastodon,2,6,10,1692576428
holonet.social,up,mastodon,1,260,13057,1688282511
loforo.com,up,mastodon,46450,5678146,23169,1670267516
social.boc47.org,up,mastodon,3,2,105,1716655029
toot.ballioljcr.org,up,mastodon,14,52,5904,1668808455
anarchism.space,up,mastodon,2118,259604,31637,1612578269
www.omeowgle.com,up,mastodon,2,188,173,1651672300
mastodon.0xcb.dev,up,mastodon,4,59,2478,1688334556
share.elouworld.org,up,mastodon,1,2524,17954,1612578267
academe.social,up,mastodon,2,168,5054,1675097877
summer.whippy.kr,up,mastodon,26,17601,1,1715392069
social.iavael.name,up,mastodon,1,0,8992,1679028817
social.sd.ai,up,mastodon,1,3175,19040,1667597053
moyu.social,up,mastodon,10,80,1544,1655050382
social.detektor.fm,up,mastodon,7,2762,12846,1673970795
mstdn.nekonote.cc,up,mastodon,1,6569,10286,1612578268
social.downey.net,up,mastodon,3,487,17369,1669524133
reformatio.whippy.kr,up,mastodon,15,1491,2,1712965132
sparkly.uni.horse,up,mastodon,1,645,16958,1641272432
assonance.org,up,mastodon,3,9,6122,1677392573
fedi.bunny.church,up,mastodon,1,6,2009,1702681564
fediverse.jdotc.xyz,up,mastodon,1,59,3150,1690919648
15-15-15.social,up,mastodon,18,471,5853,1672645362
cleverdevil.club,up,mastodon,1,1829,10522,1668833028
mastodon.burzum.ch,up,mastodon,3,0,727,1670724989
mastodon.sherbers.de,up,mastodon,1,22,6653,1668130028
owo.rs,up,mastodon,44,225,9918,1679855547
masto.donte.com.br,up,mastodon,261,502526,31490,1612578266
snabel.party,up,mastodon,4,461,5690,1668904961
social.elia.garden,up,mastodon,3,337,4315,1703548733
mastodon.brdsnest.net,up,mastodon,2,13,7640,1671506389
mastodon.myaddomain.org,up,mastodon,3,11,2261,1670137418
social.odka.org,up,mastodon,3,183,6570,1672617275
don.academist.jp,up,mastodon,5,102,983,1671243024
colovo.com,up,mastodon,2,144,14555,1677730243
social.chaotikum.org,up,mastodon,26,10126,14053,1655495994
cyber.digital-cache.cloud,up,mastodon,1,50,4030,1688178746
mastodon.hochschule-trier.de,up,mastodon,10,82,3474,1673868914
wistodon.org,up,mastodon,2,50,1982,1699533097
beep.town,up,mastodon,11,5180,2458,1709228478
mastodon.darksheep.social,up,mastodon,11,110,2192,1670172659
chatwithus.live,up,mastodon,13,804,2213,1718497847
rwx.ch,up,mastodon,5,219,6381,1667867635
kinkycats.org,up,mastodon,46,4278,6745,1698140157
schoolahead.social,up,mastodon,1,677,15497,1672259027
mastodon.schub.social,up,mastodon,1,226,4777,1704086676
msdyn365bc.social,up,mastodon,97,631,12172,1668388222
m.meredith.cc,up,mastodon,2,292,6771,1704961072
fisting.social,up,mastodon,334,1817,5420,1669051395
blob.coffee,up,mastodon,2,4,5726,1612578267
nerdjoy.social,up,mastodon,6,8668,7434,1704095425
social.routing.rocks,up,mastodon,1,97,3615,1669831597
jbo.social,up,mastodon,34,766,9308,1668634348
diversity.kitchen,up,mastodon,4,1023,7967,1671485072
zifengling.com,up,mastodon,25,18180,1616,1684007104
mastodon.arankwende.com,up,mastodon,3,3,177,1713898697
bongo.social,up,mastodon,11,93,7813,1703767797
photography.social.pekkasipila.com,up,mastodon,1,41,4454,1678319673
mastodon.dygytally.academy,up,mastodon,2,4,2330,1674592454
social.di2.io,up,mastodon,4,986,9147,1651441282
theradio.au,up,mastodon,19,3914,12000,1668494939
social.cloudonaut.io,up,mastodon,2,898,11524,1668077246
mental.social,up,mastodon,1640,1342732,12659,1612578269
kannitverstan.eu,up,mastodon,2,2067,10700,1667915642
r3dp1ll.sh,up,mastodon,1,7,2597,1672460733
galaxy.quest,up,mastodon,4,15,7000,1668013244
mastodon.3fx.ch,up,mastodon,9,2822,10929,1612578267
darkmoon.social,up,mastodon,3,11780,15798,1668720161
asocial.dk,up,mastodon,1,39,3703,1651739407
conesphere.social,up,mastodon,13,7182,13423,1612578266
amberpapilio.masto.host,up,mastodon,19,388,30,1678810646
staysilent.party,up,mastodon,3,62,8727,1669508378
lairds.com,up,mastodon,4,17,4509,1668303750
social.willfurnell.com,up,mastodon,2,48,2914,1671407278
noctua.social,up,mastodon,2,189,4556,1671772310
tsarolion.com,up,mastodon,3,671,7666,1668724472
mastodon.adtension.com,up,mastodon,97,97013671,22027,1670929973
ear.li,up,mastodon,4,839,7769,1692484119
shakedown.social,up,mastodon,1771,229570,23977,1668743615
neurodiversity-in.au,up,mastodon,80,10517,16665,1670241132
cunnin.me,up,mastodon,30,3564,16253,1668633761
social.feep.org,up,mastodon,2,242,10902,1668089660
social.jondev.lol,up,mastodon,1,473,4522,1688453910
troidy.social,up,mastodon,3,68,6930,1668758741
social.stlouist.com,up,mastodon,54,12309,19391,1651442027
mastodon.oldstyle-project.org,up,mastodon,12,115,2339,1708349720
coinop.social,up,mastodon,1,374,2473,1684639718
kclc.us,up,mastodon,2,120,12579,1675545729
mastodon.murkworks.net,up,mastodon,18,60812,21338,1667726494
wptoots.social,up,mastodon,103,10381,15398,1668855806
tiggi.es,up,mastodon,122,95758,21823,1612578269
mikroblog.dk,up,mastodon,3,201,1846,1670967461
garver.social,up,mastodon,2,4,803,1671270826
yodogawa.hostdon.ne.jp,up,mastodon,3,188,1246,1673298744
squeaky.social,up,mastodon,7,2903,7870,1612578345
kosonya.social,up,mastodon,1,14,1442,1676966946
denvr.social,up,mastodon,13,2262,13998,1675134477
mastodon.yousack.net,up,mastodon,1,188,997,1612578345
social.tsdev.live,up,mastodon,2,3,278,1719268594
kms.social,up,mastodon,3,0,2401,1690049267
mastodon.reichhome.synology.me,up,mastodon,1,0,29,1682004648
fd.toripota.com,up,mastodon,1,450,1292,1690023939
idic.social,up,mastodon,16,10320,109915,1668070057
space-pirates.org,up,mastodon,68,6036,13392,1651711657
bne.social,up,mastodon,232,109490,24778,1612578266
two-bits.org,up,mastodon,5,346,9194,1668323495
mastodon.arrakis.se,up,mastodon,1,154,5232,1667049269
ciurdarea.nu,up,mastodon,1,101,6737,1674514776
mastodon.hnaportal.net,up,mastodon,3,122466,1193,1674261501
daisippai.f5.si,up,mastodon,1,6,857,1675655739
physchem.science,up,mastodon,9,28133,16643,1669935318
masto.fam-weidig.de,up,mastodon,3,4,1,1690167809
freaks.social,up,mastodon,3,1,778,1668359252
mastodon.e-ait.de,up,mastodon,2,0,1564,1676585002
vim.town,up,mastodon,2,12,2924,1682348922
mastodon.pccl.me,up,mastodon,2,0,2075,1669171854
jluo.io,up,mastodon,1,0,4124,1673927779
don.vonbergcompany.de,up,mastodon,2,37,71,1681329937
urusai.social,up,mastodon,892,151403,17581,1668333482
